,1. open,2. high,3. low,4. close,5. volume
2009-07-31,440.9174,440.9174,440.9174,440.9174,0
2009-07-30,440.9174,440.9174,440.9174,440.9174,0
2009-07-29,440.9174,440.9174,440.9174,440.9174,0
2009-07-28,440.9174,440.9174,440.9174,440.9174,10
2009-07-27,440.9174,440.9174,440.9174,440.9174,100
2009-07-24,440.9174,440.9174,440.9174,440.9174,0
2009-07-23,440.9174,440.9174,440.9174,440.9174,0
2009-07-22,440.9174,440.9174,440.9174,440.9174,0
2009-07-21,440.9174,440.9174,440.9174,440.9174,0
2009-07-20,440.9174,440.9174,440.9174,440.9174,0
2009-07-17,440.9174,440.9174,440.9174,440.9174,0
2009-07-16,440.9174,440.9174,440.9174,440.9174,0
2009-07-15,440.9174,440.9174,440.9174,440.9174,0
2009-07-14,440.9174,440.9174,440.9174,440.9174,0
2009-07-13,440.9174,440.9174,440.9174,440.9174,0
2009-07-10,440.9174,440.9174,440.9174,440.9174,0
2009-07-09,440.9174,440.9174,440.9174,440.9174,200
2009-07-08,440.9174,440.9174,440.9174,440.9174,0
2009-07-07,440.9174,440.9174,440.9174,440.9174,10
2009-07-06,440.9174,440.9174,440.9174,440.9174,0
2009-07-02,440.9174,440.9174,440.9174,440.9174,0
2009-07-01,440.9174,440.9174,440.9174,440.9174,100
2009-06-30,440.9174,440.9174,440.9174,440.9174,0
2009-06-29,440.9174,440.9174,440.9174,440.9174,0
2009-06-26,440.9174,440.9174,440.9174,440.9174,0
2009-06-25,440.9174,440.9174,440.9174,440.9174,0
2009-06-24,440.9174,440.9174,440.9174,440.9174,0
2009-06-23,440.9174,440.9174,440.9174,440.9174,0
2009-06-22,440.9174,440.9174,440.9174,440.9174,0
2009-06-19,440.9174,440.9174,440.9174,440.9174,0
2009-06-18,440.9174,440.9174,440.9174,440.9174,0
2009-06-17,440.9174,440.9174,440.9174,440.9174,20
2009-06-16,440.9174,440.9174,440.9174,440.9174,0
2009-06-15,440.9174,440.9174,440.9174,440.9174,0
2009-06-12,440.9174,440.9174,440.9174,440.9174,10
2009-06-11,440.9174,440.9174,440.9174,440.9174,20
2009-06-10,440.9174,440.9174,440.9174,440.9174,0
2009-06-09,440.9174,440.9174,440.9174,440.9174,30
2009-06-08,440.9174,440.9174,440.9174,440.9174,50
2009-06-05,440.9174,440.9174,440.9174,440.9174,0
2009-06-04,440.9174,440.9174,440.9174,440.9174,0
2009-06-03,440.9174,440.9174,440.9174,440.9174,0
2009-06-02,440.9174,440.9174,440.9174,440.9174,0
2009-06-01,440.9174,440.9174,440.9174,440.9174,40
2009-05-29,440.9174,440.9174,440.9174,440.9174,3025
2009-05-28,440.9174,440.9174,440.9174,440.9174,0
2009-05-27,440.9174,440.9174,440.9174,440.9174,1
2009-05-26,440.9174,440.9174,440.9174,440.9174,0
2009-05-22,440.9174,440.9174,440.9174,440.9174,0
2009-05-21,440.9174,440.9174,440.9174,440.9174,0
2009-05-20,440.9174,440.9174,440.9174,440.9174,0
2009-05-19,440.9174,440.9174,440.9174,440.9174,0
2009-05-18,440.9174,440.9174,440.9174,440.9174,0
2009-05-15,440.9174,440.9174,440.9174,440.9174,3410
2009-05-14,626.4053,626.4053,626.4053,626.4053,0
2009-05-13,626.4053,626.4053,626.4053,626.4053,0
2009-05-12,626.4053,626.4053,626.4053,626.4053,0
2009-05-11,626.4053,626.4053,626.4053,626.4053,0
2009-05-08,626.4053,626.4053,626.4053,626.4053,0
2009-05-07,626.4053,626.4053,626.4053,626.4053,0
2009-05-06,626.4053,626.4053,626.4053,626.4053,20
2009-05-05,626.4053,626.4053,626.4053,626.4053,0
2009-05-04,626.4053,626.4053,626.4053,626.4053,0
2009-05-01,626.4053,626.4053,626.4053,626.4053,0
2009-04-30,626.4053,626.4053,626.4053,626.4053,0
2009-04-29,626.4053,626.4053,626.4053,626.4053,0
2009-04-28,626.4053,626.4053,626.4053,626.4053,0
2009-04-27,626.4053,626.4053,626.4053,626.4053,0
2009-04-24,626.4053,626.4053,626.4053,626.4053,0
2009-04-23,626.4053,626.4053,626.4053,626.4053,0
2009-04-22,626.4053,626.4053,626.4053,626.4053,0
2009-04-21,626.4053,626.4053,626.4053,626.4053,0
2009-04-20,626.4053,626.4053,626.4053,626.4053,0
2009-04-17,626.4053,626.4053,626.4053,626.4053,0
2009-04-16,626.4053,626.4053,626.4053,626.4053,0
2009-04-15,626.4053,626.4053,626.4053,626.4053,0
2009-04-14,626.4053,626.4053,626.4053,626.4053,0
2009-04-13,626.4053,626.4053,626.4053,626.4053,2420
